Date;Year;Quarter;Month;Appr. status;Seqno;Haul;Validity;Station name;Subsample;Processing;Category;Max maturity;Subdivision;Rect.;ICES;Lengthcl;Fishno;Age;Age quality;Otolith no;Weight;Sex;Maturity;Specimen note;Age quality ;Age quality 
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;200;40;2;1;40;82;F;1;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;210;14;2;1;14;88;M;3;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;220;15;2;1;15;96;F;2;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;230;42;2;1;42;126;M;3;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;240;8;3;2;8;130;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;250;3;3;1;3;162;M;3;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;260;10;3;2;10;188;F;2;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;270;12;3;1;12;182;M;3;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;280;1;3;1;1;190;F;2;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;290;6;3;2;6;232;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;300;2;3;2;2;256;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;310;4;3;2;4;290;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;320;5;3;2;5;304;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;330;9;3;2;9;338;F;2;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;340;7;3;2;7;360;F;2;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;350;18;4;1;18;406;M;3;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;360;13;3;2;13;364;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;370;20;3;2;20;412;F;2;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;380;11;3;2;11;532;M;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;390;19;4;2;19;618;F;8;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;400;16;4;1;16;606;F;8;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;410;43;3;1;43;598;F;3;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;430;39;3;2;39;818;F;3;;2;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;430;41;3;1;41;782;F;8;;1;
2015-02-26;2015;1;2;No;10048;2;V;SLAGGENABBEN;0;0;9;9;25;3959;39G4;440;17;4;2;17;804;F;8;;2;
